filename,folder,label,sample_rate,duration_samples,duration_ms,channels,path
Fl-stacc-A#4-mf-N-R100d.wav,staccato,13,44100,12516,283.8095238095238,1,staccato/Fl-stacc-A#4-mf-N-R100d.wav
Fl-mul-D5_F5-mf-N-N.wav,multiphonics,8,44100,272304,6174.693877551021,1,multiphonics/Fl-mul-D5_F5-mf-N-N.wav
Fl-flatt_ord-F#5-mf-N-R100u.wav,flatterzunge_to_ordinario,5,44100,283746,6434.149659863945,1,flatterzunge_to_ordinario/Fl-flatt_ord-F#5-mf-N-R100u.wav
Fl-sfz-F4-fp-N-R100u.wav,sforzato,12,44100,239050,5420.6349206349205,1,sforzato/Fl-sfz-F4-fp-N-R100u.wav
Fl-mul-Dq6_Aq5_Dq4-mf-N-N.wav,multiphonics,8,44100,334211,7578.480725623583,1,multiphonics/Fl-mul-Dq6_Aq5_Dq4-mf-N-N.wav
Fl-sfz-A#6-f-N-N.wav,sforzato,12,44100,99595,2258.390022675737,1,sforzato/Fl-sfz-A#6-f-N-N.wav
Fl-harm_fngr-C7-f-N-N.wav,harmonic_fingering,6,44100,249619,5660.294784580498,1,harmonic_fingering/Fl-harm_fngr-C7-f-N-N.wav
Fl-mul-G#4_D#6_G5-mf-N-N.wav,multiphonics,8,44100,290478,6586.802721088436,1,multiphonics/Fl-mul-G#4_D#6_G5-mf-N-N.wav
Fl-tng_ram-D4-mf-N-N.wav,tongue_ram-pizz,14,44100,15895,360.4308390022676,1,tongue_ram-pizz/Fl-tng_ram-D4-mf-N-N.wav
Fl-cre_dec-A#6-ppmfpp-N-R100d.wav,crescendo_to_decrescendo,2,44100,336893,7639.297052154195,1,crescendo_to_decrescendo/Fl-cre_dec-A#6-ppmfpp-N-R100d.wav
Fl-cresc-A#4-ppff-N-R100u.wav,crescendo,1,44100,249113,5648.820861678004,1,crescendo/Fl-cresc-A#4-ppff-N-R100u.wav
Fl-cresc-G5-ppff-N-R200d.wav,crescendo,1,44100,318802,7229.070294784581,1,crescendo/Fl-cresc-G5-ppff-N-R200d.wav
Fl-stacc-C4-mf-N-R100u.wav,staccato,13,44100,12417,281.5646258503401,1,staccato/Fl-stacc-C4-mf-N-R100u.wav
Fl-flatt-F5-mf-N-N.wav,flatterzunge,4,44100,295722,6705.714285714285,1,flatterzunge/Fl-flatt-F5-mf-N-N.wav
Fl-ord-G4-pp-N-N.wav,ordinario,10,44100,274751,6230.181405895692,1,ordinario/Fl-ord-G4-pp-N-N.wav
Fl-pizz-F#5-f-N-N.wav,tongue_ram-pizz,14,44100,17759,402.6984126984127,1,tongue_ram-pizz/Fl-pizz-F#5-f-N-N.wav
Fl-flatt-B3-ff-N-N.wav,flatterzunge,4,44100,280620,6363.265306122449,1,flatterzunge/Fl-flatt-B3-ff-N-N.wav
Fl-ord-G#5-ff-N-T19d.wav,ordinario,10,44100,301445,6835.487528344671,1,ordinario/Fl-ord-G#5-ff-N-T19d.wav
Fl-jet-10.wav,jet_whistle,7,44100,54087,1226.4625850340137,1,jet_whistle/Fl-jet-10.wav
Fl-harm_fngr-C#6-p-N-N.wav,harmonic_fingering,6,44100,280966,6371.111111111111,1,harmonic_fingering/Fl-harm_fngr-C#6-p-N-N.wav
Fl-harm_fngr-G#5-p-N-N.wav,harmonic_fingering,6,44100,269182,6103.90022675737,1,harmonic_fingering/Fl-harm_fngr-G#5-p-N-N.wav
Fl-harm_fngr-A#5-f-N-N.wav,harmonic_fingering,6,44100,293638,6658.458049886622,1,harmonic_fingering/Fl-harm_fngr-A#5-f-N-N.wav
Fl-lasting_one_sec-F4-mf-N-N.wav,note_lasting,9,44100,56986,1292.1995464852607,1,note_lasting/Fl-lasting_one_sec-F4-mf-N-N.wav
Fl-harm_fngr-G#6-f-N-N.wav,harmonic_fingering,6,44100,280899,6369.591836734694,1,harmonic_fingering/Fl-harm_fngr-G#6-f-N-N.wav
Fl-trill_maj_second-G#6-mf-N-N.wav,trill,15,44100,328249,7443.28798185941,1,trill/Fl-trill_maj_second-G#6-mf-N-N.wav
Fl-cre_dec-A4-ppmfpp-N-R200d.wav,crescendo_to_decrescendo,2,44100,404191,9165.328798185941,1,crescendo_to_decrescendo/Fl-cre_dec-A4-ppmfpp-N-R200d.wav
Fl-flatt-F5-pp-N-N.wav,flatterzunge,4,44100,289317,6560.476190476191,1,flatterzunge/Fl-flatt-F5-pp-N-N.wav
Fl-cresc-G6-ppff-N-R200d.wav,crescendo,1,44100,314821,7138.798185941044,1,crescendo/Fl-cresc-G6-ppff-N-R200d.wav
Fl-tng_ram-E3-mf-N-N.wav,tongue_ram-pizz,14,44100,19993,453.35600907029476,1,tongue_ram-pizz/Fl-tng_ram-E3-mf-N-N.wav
Fl-tng_ram-B3-mf-N-N.wav,tongue_ram-pizz,14,44100,16328,370.24943310657596,1,tongue_ram-pizz/Fl-tng_ram-B3-mf-N-N.wav
